Model;Dataset;Batch size;Mode;Parameters;Infrastucture;Average time of single pass (s);Latency;FPS
resnet-50;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;10.002626657485962;None;299.9212209679746;
resnet-50;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;9.987861156463623;None;300.3646078979138;
resnet-101;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.20152775122194874;0.20307254791259766;14773.045548683413;
resnet-101;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;20.27720546722412;None;147.9493811338634;
resnet-101;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;20.194700241088867;None;148.55382670628066;
resnet-152;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.30541736495738125;0.29680097103118896;10107.783642273693;
resnet-152;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.38312029838562;None;98.73903570593447;
resnet-152;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;30.36083149909973;None;98.81152300090848;
squeezenet1.0;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.028544206619262696;0.031241893768310547;96024.90880507944;
squeezenet1.0;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;2.822382926940918;None;1062.931599877411;
squeezenet1.0;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;2.796156883239746;None;1072.9011730286295;
squeezenet1.1;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.015620961075737363;0.015620946884155273;192049.81761015888;
squeezenet1.1;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;1.4261786937713623;None;2103.5232212499627;
squeezenet1.1;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;1.4080986976623535;None;2130.532472603257;
vgg16;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.48548665191188;0.4842498302459717;6195.149306456481;
vgg16;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;48.6937997341156;None;61.60948655436629;
vgg16;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;48.98616981506348;None;61.24177520565174;
vgg19;ImageNet;3;Sync;Plugin: CPU, Async request count: None, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;0.5950178297198548;0.5935977697372437;5053.927344315919;
vgg19;ImageNet;3;Async;Plugin: CPU, Async request count: 1, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;59.59534025192261;None;50.33950619827558;
vgg19;ImageNet;3;Async;Plugin: CPU, Async request count: 2, Iteration count: 100, Min inference time: 0.001;CPU: Intel(R) Core(TM) i3-7100 CPU @ 3.90GHz, CPU family: Intel64 Family 6 Model 158 Stepping 9, GenuineIntel, RAM size: 8256420 KB, OS family: Windows, OS version: Windows-10-10.0.17134-SP0, Python version: 3.6.0;59.59941482543945;None;50.336064687659956;
